770873224;"House Of Boys";2011;Unrated;112;"A colorful and raw coming-of-age story set in the emerging gay dance club scene of Amsterdam 1984. House of Boys tells the story of Frank, a high school kid who leaves home and falls into the exciting new world of free sex, music and dance. When Frank's new world is suddenly turned upside down, his struggle for courage in face of the unknown gives him a new and deep understanding of the true meaning of love. -- (C) Official Site";"Eleanor David";"Stephen Fry";"Udo Kier";"Steven Webb";"Luke Wilkins"
770677899;"House of the Damned";1963;Unrated;63;;"Merry Anders";"Richard Crane";"Ron Foster";"Richard Kiel";"Dal McKennon"
770681485;"House at the End of the Drive";2006;R;91;;"James Oliver";"Alison Raimondi";"Jonathan Mangum";"Angela Jones";"Lance Henriksen"
770737637;"House of the Damned (Spectre) (Escape to Nowhere)";1996;R;83;;"Greg Evigan";"Alexandra Paul";;;
770859554;"House of Bones";2009;Unrated;90;;"Charisma Carpenter";"Corin Nemec";"Ricky Wayne";"Marcus Lyle Brown";"Stephanie Honore"
770921867;"House of Cards";1995;Unrated;200;;"Ian Richardson";;;;
771268705;"House Arrest";2011;R;102;"Spoiled Chanel moves back to the ghetto with her mother and daughter after getting placed on house arrest for a crime she didn't commit, and finds herself forced to choose between two disparate lifestyles when her boyfriend DeAndre proposes to her from behind bars. ~ Jason Buchanan, Rovi";"Stacey Dash";"The Game";"Red Grant";"David Dustin Kenyon";"Jesse Garcia"
770671575;"House of America";1997;Unrated;96;;"Steven Mackintosh";"Sian Phillips";"Richard Harrington";"Pascal Laurent";"Islwyn Morris"
771001813;"House on Hooter Hill";2007;Unrated;120;;"Taylor Wane";"Glori-Ann Gilbert";;;
760383416;"House of Dreams";2007;Unrated;;;;;;;
771363960;"House In The Alley";2013;Unrated;93;"Until they lose their baby to a miscarriage, a young couple were happily settling into their new life in their spacious home. After the tragedy, Thao is inconsolable and won't let her baby's body leave the house. Normal life eludes her as terrifying visions undermine her sanity. Her husband, Thanh, experiences strange phenomena around their home and when his wife turns on him, he must race to uncover the secrets of the house in the alley before they lose their sanity and their lives.";"Thanh Van Ngo";"Bao Son Tran";"Van Hai Bui";;
770725303;"House of the Invisibles";2007;Unrated;90;;"Wayne Lai";"Lam Sho";"Leila Tong";"Eddie Pang";"Emily Kwan"
770723543;"House of Carnage";2006;Unrated;72;;"Amberly Ash";"Danielle Donahue";"Darla Enlow";"Eddie Benevich";"Janet Robbins"
